text,label
早餐很丰富，服务也热情，早上很早退房时，前台值此人员办理手续也非常快．,1
这次是308的行政大床，总体感觉非常不错，就是价格稍许高了点，旁边有个五星的豪华客房才398。估计小天鹅也只有这个房型以上的，看得过去，以前住过的房间实在是很差。以后大家如果要住这里，还是选这个行政大床吧！,1
好像跟那家酒店一个公司的，所以房间的风格比较接近，就是小一些，整体来说比较不错，房间内食品都是免费，很实在。就是早餐实在不敢恭维，大堂环境比较差。整体来说不错，属于比较好的三星级酒店。,1
前台楼层服务员都不错，房间安静整洁，交通方便，吃的周围也挺多．唯一不足，卫生间地漏设计不好，导致少量积水．,1
这个宾馆总体感觉还不错，无论从价格、出行、购物，还是订机票（就在它的右边）都很方便。只是房间没有什么电脑，也不知道它说的免费上网在什么地方可以。补充点评2007年10月12日：对了，去机场也很方便，机场大巴就在它下面，每半个小时一趟,1
"价格偏高,服务一般.窗外风景ok.早餐还不错",1
酒店正在申定五星中，不过目前看来四星都有点勉强。大堂很气派，不过细节很粗糙。硬件需要加强。服务人员礼貌热情。酒店的房间和早餐都还不错。,1
闹中取静的一个地方，在窗前能看到不错的风景。酒店价格的确有些偏高,1
很不错的酒店。虽然离地铁站有一定距离，可是还是挺方便的。房间的床很大很舒服。但是相对的，别的空间就缩小了。。。不过我还是很喜欢那张床。。。早上服务员的声音有些响希望可以改进下,1
非常不错的酒店，依山傍水，里面大片森林，散散步很不错，坐在湖边也休息也是不错的选择；房间很幽静，房间的设施很好，服务员态度也很好。,1
"市里的酒店感觉很气派,而且很干净,整个酒店的房间布局也很整齐.5月份入住的,由于第一天房间不能上网,和前台协调又换了一间可以上网的,还帮忙调试了笔记本,服务很周到.正好住的两天都有人结婚,感觉酒店一楼的宴会厅很适合婚礼",1
"总体还可以,就是前台服务员还不够敬业,在登记入住后,看都没看是不是本人,就把我客人的护照给了其它人,幸亏就在旁边,要不然不知后果怎样,之后连说声不好意思,或对不起都没有!!!希望改进!!!",1
我已经住过两次了。比较满意，特别是接机服务，一个人也接，及时周到。宽带速度也比较快。但是没有大家说的免费果盘。,1
很安静，周围环境不错。交通较便捷。但周围娱乐设施，或者饮食之处不多。,1
离机场很近，房间里的床很大，里面还有一面镜子,1
总体感觉不错，美中不足的是房与房之间隔音效果不太好，还有房价感觉稍高。,1
"设施虽稍陈旧一些,但良好的服务给人温暖.酒店所处地理位置和环境极好.对年龄较大的个人旅游者而言,入住该酒店不失为较佳选择.",1
环境不错，室内色调很温馨，很满意！就是窗户收拾得太马虎了，拉开窗帘就觉得很凌乱的感觉。最不足的地方就是淋浴了，一是地方太小了，二是洗澡时水时大时小的，中间还停了几秒！,1
总体很满意，但有一点需改进，我在9楼入住，走时到1楼前台结帐时由9楼层服务员检查房间，发现我有零星物品遗失在房间，我当时请他们送下来，结果答复是到4楼客房服务部去取，我到了4楼，又说服员员没时间，又要到9楼去取。当然这没什么，但是如果他们给东西送下来，哪怕是到4楼就取到了东西，我会对酒店有更好的印象。,1
4年前住过。酒店设施这个价格还算值，尤其是黄金周期间。临海位置很好。高层，大部分房间都可以看到海。前台接待的小姐态度很生硬，登记的姓名没一个字是对的。算啦，不影响住也就不计较了。,1
房间稍小，但清洁，非常实惠。不足之处是：双人房的洗澡用品只有一套.,1
3人间还是比较大的，就是暖气不是太暖和，时冷时热。被单会有油污的地方，不过还可以接受。洗漱间和厕所没有暖气洗澡刚开始会较冷。24小时热水、比较周到的服务、桶式饮用水还是不错的。周围环境还可以比较安静，交通方便,1
我们住的是8号五星楼，总体来讲还可以，服务还有些欠缺，退房是时间太长,1
"位置不错,在市中心.周围吃饭等很方便.房间一如既往的干净",1
房间还可以，楼下有食街，服务态度很好！不过网络不太好，总是断线；早餐一般般。,1
不错的酒店，房间干净，安静（15楼）。客户请客就在酒店的包房吃的，味道很好。中式早餐略有不足，没什么可选，味道还可以。,1
酒店的设施稍微老了一点，是四星级酒店的一个附楼。但是服务不错，而且酒店的价格非常吸引人。下次还会入住的！,1
"浴巾是洁白新的,毛巾脏到灰黑色.被子不错,但几乎没褥子,喜欢硬板床的TZ有福了,绝对够硬.交通是大马路旁,评价是:路边店.不知是否抱怨携成佣金多,给的也是位置最差的2间(一层餐厅门口),实际酒店当天入住率不高,何必呢.7.8号早7:30开始钻头声大作,直到10点多我们离开.我选酒店靠评论还很少失手,这次是挂2个大眼袋浑身痛(咯的)回去的.如果各位和我一样把住宿和度假心情结合的话,最好别选.我不求硬件多好,只要干净温暖,多花点钱都愿意.以后仅记,一定要住旅游局正式挂牌的酒店!!各方面都不正规,别看照片,和实际差远了.",0
1、房间太小，小的有点过份。所谓的可供上网的台子小的快连笔记本电脑都放不下了。我在搞电脑时，差点摔破酒店的杯子。2、此期间通过网站预订，酒店赠送精美钥匙扣。钥匙扣在哪里？好像没送。3、早餐时间8时40分要求在餐厅煎蛋的服务生，煎个鸡蛋，回答说今天煎蛋结束，我说为何？服务生告之没蛋了，我说还有二十分钟早餐才结束，为何就没蛋了，仅仅是个鸡蛋。当时想找他们经理，算了吧，还是写在这里。4、失望。下次不去再去。,0
酒店确实是旧了，房间家具有些都不能用了，连床头灯都坏了，毛巾也感觉脏脏的，房间的隔音效果也特别差，隔壁房间的说话声听得清清楚楚。服务一般，态度不是很好，早餐品种少得可怜。要不是因为离机场非常近，实在是没有优点啊。,0
楼房间还不错。单入住和退房手续时间太长。入住时先告诉我房间未整理好，但不能先办入住和放行李入房间（因急着有其他事情）。后来房间OK后还是用了40分钟才办好入住手续。,0
此酒店门面很小，完全不像一个三星级酒店。入住率好像也不高，反正我住的时候，人很少。房间大小比较标准，但是光线不是很好。网络奇差无比，经常连不上。服务很一般,0
1房间很小，地毯很脏，白毛巾显黑色2中央空调有异响，后半夜只好关掉3洗澡水忽冷忽热,0
"位置相当偏僻,晚上从五环出来,该拐第一个弯的地方连路灯都没有,房间小,二楼的房间要从三楼走下去,没体会他们能提供什么服务,连出租车都不给定.绝对不建议入住",0
我们7人同行，订了2间标房，1间三人房，到酒店入住时告知三人房与两间标房分别在两幢楼的，三人房checkin的时候又告知房间有问题，还要给了我们两间标房，房间内设施齐全，但是洗澡水放出来就象泥水，要放15分钟才干净，楼内服务台没有服务人员，总体感觉不是很满意。,0
"由于五一当天决定出去玩,订晚了,只有三家酒店可选择,就选了这家.优点:酒店在湖边,房间要选临湖那面,感觉还算清静,酒店的绿化还算好.缺点:房间设施太过简陋,顶多是个普通的招待所的标准,卫生间太简陋,那个马桶简直脏的吓人,不是打扫的不干净,不知道是用了太多年还是质量太差,整个马桶都是乌其麻黑的.不要在酒店吃饭,景区里有农家乐,找停车多的那种,价格公道,材料新鲜,那个土鸡汤味道真实鲜得来",0
硬件差：房间设施简单、陈旧，房内有较重的异味，半夜后中央空调“罢工”。服务差：进房发现，床单和被褥就简单地铺在床上，根本没有拉平整。走廊、过道、楼后场地到处是桌椅、杂物乱堆乱放的场景（看得出酒店管理、服务的基本水准）。,0
"渡假村周围景色不错,但较落.硬件太差,服务水准有待提高!查房时故意用陈旧的烟蒂烫痕讹人,虽未得逞,但给人留下的感觉不好,以后不去就是了.",0
该酒店卫生情况较差，特别是早晨6点多，我听到卫生间有两只老鼠在嘶叫，感觉特别差，硬件设施与价格不符，失望，太令人失望,0
早上自助餐极差，脏得无法吃，居然还每人20.中餐厅服务员极差，要想吃饭，先气死。再也不会去了。,0
房间装修比较旧，周边也没有休闲购物的地方，性价比不高。虽然说免费提供上网，但实际上网上不了，最后还要住电脑房才能上网，不适合商务出差。还要投诉一点，浴室的用具，包括沐浴露和洗发水，有些是满的，有些只有半瓶，有可能是上回用剩的，请各位入住时注意。,0
第一印象：差！！而且网上说的是有免费宽带的，我一问，不是每间房都有的，而且刚好，我要订的房就没有。。。。简直是郁闷。。第二天，要插线板，拿来一个特别小的，不能用，我让前台帮我再去买一个，钱我自己出，人家回复：现在已经买不到了，我不能上网，不能回复邮件，有可能一下子就会损失10几万！！,0
"酒店老化,房间装修差,服务过于生硬,中午退房时间过不到两小时收取半日房费，而其它酒店基本从人性化考虑，不收此项费用．",0
刚从山里回来，从网站订了百岁山庄，总体感觉还可以，就是满大堂飘溢着奇香，不知是什么，有些刺鼻。房间也算可以，很紧凑，设施、洗澡水也不错，可有股潮湿不通风的怪味，被单上也有不洁的痕迹。好在我们只注一天，也就将就了。,0
房间设施还可以，但酒店内非常的冷，冬天不推荐入住。,0
太令人失望了。通过携程预定的，应含双早，可是，总台没给餐券，餐厅要收每人10元，才上餐。浴室的龙头坏的，头天入住报修后，到第二天退房也没人修。浴帘脏得看不出本来的颜色。太差劲了。,0
什么电力宾馆呀？！根本就象私人的“大车店”！服务不是一般的不规范（收款除外）。入住该宾馆的时候，打开房门一看：纸篓是满满的，洗手盆里都是污水，马桶里也是污水（马桶还是“长流水”），毛巾和地板都是灰色的。打扫过的房间，洗手盆里还满是黑乎乎的油污。第二天早晨，我们刚刚起床，服务员连门都没有敲直接推门就进去了，说是要打扫房间。当我们离开房间的时候，我告诉总台打扫，可是4个小时以后我们回来，房间里就和走的时候一样。房间里电视和宽带也没有了。再次去找总台，等了半个小时都没有人来……总之，就是有一种被愚弄了的感觉。建议携程网取消该宾馆的合同，否则也许会影响到自己的信誉。,0
总体来说不怎么样的，进入当天需要门童帮助拿行李也是很不情愿的样子，服务员比你还要早就洗好澡了，在你对面的房间看电视。延住几天的卫生打扫也是很马虎，第二天觉得卫生间很臭还要请她们在你眼皮底下再打扫一遍。这家酒店是原来对内的招待所改建、扩大的所以很多酒店该有的实施基本上不具备的，出这个价很不值的！,0
"到半夜竟然没暖气,怎么住啊????!!!!!!!!!",0
房间比较差，尤其是洗手间，房间隔音和餐饮服务都不好。,0
